workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
0,28,108600,107451,1149,840,837,3,36,0,16,8758483,768,8672941,576702,105250,1149
0,29,7399,6247,1152,153,153,0,21,0,16,674613,256,651177,96971,107716,1152
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,54590,53438,1152,866,866,0,73,0,16,9167421,768,9080278,575287,136863,1146
0,32,6636,3128,3508,188,112,76,28,0,15,1169582,360,1110287,463668,0,3506
0,33,109041,107893,1148,783,779,4,56,0,16,9320415,768,9230304,577437,142423,1148
0,34,7396,6244,1152,156,156,0,21,0,16,739146,256,710091,99529,142515,1152
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,54569,53417,1152,887,887,0,72,0,16,8921265,768,8835751,573067,125025,1145
0,37,7360,3337,4023,192,119,73,28,0,16,1238273,384,1175574,498409,0,4019
0,38,108879,107740,1139,817,804,13,49,0,16,9081231,768,8992663,578041,128466,1134
0,39,7400,6248,1152,152,152,0,21,0,16,718806,256,692147,99187,130545,1152
TDLCA_Denoise,251523995,6994,2747,4247,137422,80225,57197,75073,0,16,9357014,128,8805333,2097536,4085043,1370
0,1,5209,2631,2578,283591,224724,58867,154059,0,16,20338548,384,19378477,3932544,4273886,984
0,2,6804,2259,4545,137612,80711,56901,75031,0,16,9365867,128,8797303,2097536,4072015,1629
0,3,4958,2640,2318,283842,224715,59127,154032,0,16,20267191,384,19298030,3932544,4292634,898
0,4,6760,2611,4149,137656,80356,57300,75118,0,16,9377285,128,8830418,2097536,4006356,1352
0,5,5229,2602,2627,283571,224758,58813,153941,0,16,20337193,384,19370884,3932544,4293371,1066
0,6,6708,2387,4321,137708,80573,57135,75014,0,16,9377407,128,8808701,2097536,4015725,1522
0,7,5103,2362,2741,283697,224983,58714,153966,0,16,20333436,384,19363864,3932544,4325098,1055
0,8,4930,2400,2530,139486,80572,58914,75949,0,16,9396995,128,8684215,2097536,4097923,822
0,9,5257,2451,2806,283543,224901,58642,153780,0,16,20336498,384,19372544,3932544,4311549,1051
0,10,5469,2274,3195,138947,80688,58259,75568,0,16,9388768,128,8729066,2097536,4029272,1098
0,11,4856,2214,2642,283944,225146,58798,153972,0,16,20299814,384,19296116,3932544,4438387,1015
0,12,4772,2363,2409,139644,80613,59031,76072,0,16,9402254,128,8646768,2097536,4164779,733
0,13,5011,2578,2433,283789,224779,59010,154009,0,16,20341080,384,19340111,3932544,4448733,807
